TRIAL,TIME,PK
1,  220905, N
2,  219048, N
3,  221059, N
4,  220148, N
5,  220458, N
6,  221453, N
7,  219482, N
8,  220305, N
9,  220647, N
10, 220694, N
11, 221196, N
12, 219306, N
13, 221367, N
14, 220012, N
15, 219988, N
16, 220415, N
17, 220157, N
18, 220022, N
19, 220448, N
20, 220357, N
1,  230210, Y
2,  221737, Y
3,  219866, Y
4,  220659, Y
5,  220086, Y
6,  220224, Y
7,  221117, Y
8,  220864, Y
9,  219597, Y
10, 221260, Y
11, 219691, Y
12, 219507, Y
13, 220422, Y
14, 220762, Y
15, 220557, Y
16, 220185, Y
17, 220034, Y
18, 220016, Y
19, 220976, Y
20, 219594, Y
